Index,menu_item,meal_type,times_served,days_served,notes,price
1,Sub house-made biscuit,substitutions,8AM to 3PM,Tuesday - Sunday,"On Saturday & Sunday we will stop seating for brunch at 2:30. omelets, & skillets are served with wheat or rye toast.",1
2,sub house-made gluten-free focaccia,substitutions,8AM to 3PM,Tuesday - Sunday,,2.5
3,Sub 2 pancakes for toast,substitutions,8AM to 3PM,Tuesday - Sunday,,2.5
4,Sub waffles for toast,substitutions,8AM to 3PM,Tuesday - Sunday,,3.5
5,Biscuits & Gravy              ,Eggs & Such,8AM to 3PM,Tuesday - Sunday,House-made buttermilk biscuits with house-made pork sausage or vegan patty. ,9.95
7,Biscuits & Gravy              ,Eggs & Such,8AM to 3PM,Tuesday - Sunday,House-made buttermilk biscuits with house-made pork sausage or vegan patty. ,9.95
9,Breakfast Platter         ,Eggs & Such,8AM to 3PM,Tuesday - Sunday,"2 eggs cooked any style, herbed potatoes, toast, & choice of bacon, sausage, or vegan patty. ",9.95
10,Huevos Juan  (wf)             ,Eggs & Such,8AM to 3PM,Tuesday - Sunday,"  2 corn tortillas with over easy eggs, house-made chorizo, guacamole, pico de gallo, cheddar cheese, and a side of beans",9.95
11,Egg & cheddar cheese      ,Breakfast Sandwiches,8AM to 3PM,Tuesday - Sunday,Served on soft ciabatta,8.95
12,The Californian               ,Breakfast Sandwiches,8AM to 3PM,Tuesday - Sunday," A mini omelet style egg filled with sauteed spinach, guacamole, fresh tomato & pepper jack cheese.",9.95
13,Breakfast burrito           ,Burritos,8AM to 3PM,Tuesday - Sunday,"Scrambled eggs, beans, pico de gallo, guacamole, & cheddar cheese  wrapped in a flour tortilla.",9.95
14,Tijuana burrito               ,Burritos,8AM to 3PM,Tuesday - Sunday,"Scrambled eggs, chorizo, potatoes, poblano peppers, onions, pepper jack & cheddar cheese, in a flour tortilla with a side of cilantro lime cream.",9.95
15,Vegan burrito  (v)            ,Burritos,8AM to 3PM,Tuesday - Sunday,"  Spicy tofu and sweet potato mix, beans, pico de gallo, guacamole and spinach in a flour tortilla. ",9.95
16,Breakfast Tacos             ,Tacos ,8AM to 3PM,Tuesday - Sunday,"3 corn tortillas filled with scrambled eggs, pico de gallo, guacamole & cheddar cheese. Served with a side of beans",10.95
17,Vegan Tacos  (v)              ,Tacos ,8AM to 3PM,Tuesday - Sunday,"3 corn tortillas filled with spicy tofu and sweet potato mix, pico de gallo, guacamole and spinach. Served with a side of beans",10.95
18,Denver (omelet or skillet)     ,Omelets & Skillets,8AM to 3PM,Tuesday - Sunday,"served with toast & potatoes  ham, red bell peppers, onions, & swiss cheese. ",11.95
19,Chorizo (omelet or skillet)   ,Omelets & Skillets,8AM to 3PM,Tuesday - Sunday,House-made chorizo & cheddar cheese with pico de gallo & guacamole.  Sub vegetarian chorizo no charge.,11.95
20,Veggie (omelet or skillet)      ,Omelets & Skillets,8AM to 3PM,Tuesday - Sunday,"Mushroom, onion, red bell peppers, spinach & provolone cheese. ",11.95
21,Provence (omelet or skillet)  ,Omelets & Skillets,8AM to 3PM,Tuesday - Sunday,"Tarragon, spinach, onions, zucchini, and Brie cheese.  ",11.95
22,Hangover skillet             ,Omelets & Skillets,8AM to 3PM,Tuesday - Sunday," Potatoes, red-eye gravy with bacon & sausage, cheddar cheese and 2 eggs any style. ",11.95
23,Vegan skillet (v) (wf)       ,Omelets & Skillets,8AM to 3PM,Tuesday - Sunday," Potatoes, seasoned tofu, mushrooms, sun dried tomatoes, onions, and red bell peppers.                 Add egg - or - cheese $1   ",10.95
24,Funky skillet (wf)             ,Omelets & Skillets,8AM to 3PM,Tuesday - Sunday," Seasoned deli turkey, sundried tomatoes, onions, peppers and swiss cheese over sweet potatoes, topped with guacamole and 2 eggs any style. ",11.95
25,Pork Carnitas               ,Bombwiches,8AM to 3PM,Tuesday - Sunday,"Slow roasted pork carnitas smothered in chipotle espresso sauce, Mexican cheese, pico de gallo, guacamole and a fried egg.",13.25
26,Three Little Pigs           ,Bombwiches,8AM to 3PM,Tuesday - Sunday,"A layer of ham, breakfast sausage and bacon piled high with Swiss cheese, layered into an omelet style egg.",13.25
27,Cuban                        ,Bombwiches,8AM to 3PM,Tuesday - Sunday,"Ham, mojo pork, Swiss cheese, house-made pickles, mustard and a fried egg.",13.25
28,Bomb mi                      ,Bombwiches,8AM to 3PM,Tuesday - Sunday,"Hoisin glazed shredded pork or tofu, fresh jalapenos, house-made pickled daikon & carrots, pickles, fresh cilantro, sriracha and a fried egg.  ",13.25
29,The Rabbit BLT2           ,Bombwiches,8AM to 3PM,Tuesday - Sunday," Loads of bacon, lettuce, tomato, turkey and guacamole on a pretzel bun with house-made ranch dressing.",13.25
30,Cantina Bomb (v)         ,Bombwiches,8AM to 3PM,Tuesday - Sunday,"2 house-made vegan patties, vegan cream cheese, pico de gallo and guacamole.  Add an egg for $1.00",13.25
31,Buffalo (vegan upon request)  ,Bombwiches,8AM to 3PM,Tuesday - Sunday," Tofu or fried chicken spun in buffalo sauce, topped with cool cream cheese, carrots, lettuce on a pretzel bun.",13.25
33,Turkey Gouda Chutney  ,sandwiches,8AM to 3PM,Tuesday - Sunday," Deli turkey paired with smoked Gouda, lettuce, tomato, mayo & onion chutney. Served on a pretzel roll. ",12.25
34,Medi street Wrap (V)      ,sandwiches,8AM to 3PM,Tuesday - Sunday," Mediterranean style wrap with house-made vegan patty, hummus, olives, cucumbers, red onion, tomato, roasted red pepper sauce and greens. ",10.95
35,Sheridan Wrap               ,sandwiches,8AM to 3PM,Tuesday - Sunday," Turkey, bacon, swiss cheese, roasted red pepper sauce, tomato, red onions and greens in a flour tortilla. ",10.95
36,Oatmeal                      ,Lighter fare,8AM to 3PM,Tuesday - Sunday,House-made toasted oatmeal. Choose either mixed fruit or nutty pecan.  ,4.25
37,Yogurt parfait             ,Lighter fare,8AM to 3PM,Tuesday - Sunday,"   Greek yogurt, honey, granola, blueberry compote.",7.95
39,Big Salad (V)                 ,Soup & salads,8AM to 3PM,Tuesday - Sunday,All the veggies piled high with hummus.,10.95
40,Rabbit Cobb              ,Soup & salads,8AM to 3PM,Tuesday - Sunday,"Diced turkey, crisp bacon, creamy guacamole, fresh tomatoes and cheddar cheese. Topped with a chopped egg",11.95
42,Short Stack                     ,Pancakes,8AM to 3PM,Tuesday - Sunday,"  3 perfect pancakes,   add blueberry compote  $2.50, Chocolate chips stack $10.95",8.95
43,Chocolate chips stack      ,Pancakes,8AM to 3PM,Tuesday - Sunday,,10.95
44,Bacon & Dates                 ,Pancakes,8AM to 3PM,Tuesday - Sunday,"3 pancakes filled with crisp, salty bacon and sweet, chewy dates for a perfect pair. *No substitutions please",11.5
